QUIT	LÎ-KHUI
ambiguous	ài-māi
Thirst	Chhùi-ta
Swelling	Chéng
Head	Thâu
Hand	Chhiú
contusion	chhè-siong
Leg	Thúi
bruise	o͘-chheⁿ
Ankle	Kha-ba̍k
Chest	Heng-khám
bone	kut
Discomfort	Kan-khó͘
surgery	Chhiú-su̍t
Advance	Chìn-kai
Bandage	Pò͘-tiâu
Observation	Koan-chhat
Exercise	Ūn-tōng
Larynx	Âu-thâu
Laryngitis	Âu-thâu-iām
Diarrhea	Hā-lī
nephritis	sīn-chōng-iām
nitrogen	Chek-sò͘
Swollen	Chéng-tiùⁿ
Typhus	Chì-hû-su
Esophagus	Chia̍h-tō
Oesophagus	Chia̍h-tō
Fistula	Tī-lāu
intestine	tn̂g
tapeworm	tòa-thâng
Pork	Ti-bah
flatworms	píⁿ-pîⁿ-thâng
parasitic	kià-seng-sèng
infection	thoân-jiám
Beef	Gû-bah
digestive system	siau-hòa hē-thóng
humans	lâng
Pharyngitis	Ian-thâu-iām
tonsils	Píⁿ-thô-chôaⁿ
Bacterial	Sè-khún-sèng
tonsillitis	píⁿ-thô-chôaⁿ-iām
Viral	Pēⁿ-to̍k-sèng
Bronchitis	khì-kńg-chi-iām
Diabetes	Thn̂g-jiō-chèng
Pneumonia	Hì-iām
chronic	bān-sèng
Lung	Hì
Ligament	jīm-tài
fracture	kut-chi̍h
Nasal	Phīⁿ
jaw	go̍k-kut
blisters	phā
scab	kiat-ka
Streptococcus	Liân-só-chōng kiû-khún
Bandage	Pheng-tòa
scab	kian-phí
eventually	siōng-bóe
Chickenpox	Chúi-chu
Shingles	Phôe-chôa sio̍h
Tinea unguium	Pe̍h-chéng-kah
Onychomycosis	Chéng-kah-sián
Anemia	Hiat-hu
anemia	huih-hu
lactose	leng-thn̂g
digest	siau-hòa
respiratory system	ho͘-khip-khì hē-thóng
upper	téng-bīn
swelling	chéng-tiùⁿ
cold	kám-mō͘
nose	phiⁿ-á
Sinusitis	Hù-phīⁿ-khang-iām
inflammation	hoat-iām
one	chi̍t-ê
sinuses	hù-phīⁿ-khang
causes	tì-sú
mucus	liâm-e̍k
pus	lok-lâng
Influenza	Liû-kám
pollen	hoe-hún
Hay fever	Ta-chháu-jia̍t
rhinitis	ka-tap-jî
common	sò͘-siông
the flu	liû-kám
dermatitis	phôe-hu-iām
irritation	chhì-kek
allergen	kòe-bín-goân
tendons	kiàn
muscles	kun-bah
outdoor	gōa-kháu
syndrome	chèng-hāu-kûn
Hepatitis	koaⁿ-iām
pancreatic	chūi-chōng
Exocrine	Gōa-hun-pì
absorption	khip-siu
nutrients	chu-ióng-liāu
contusion	gêng-hoeh
Kidney	Io-chí
pancreas	chūi-chōng
pulmonary	hì
pulmonary	hì-chōng
spleen	Pî-chōng
thyroiditis	kah-chōng-chôaⁿ-iām
thyroid	kah-chōng-chôaⁿ
thyroid gland	kah-chōng-chôaⁿ
functions	ki-lêng
hormone	ho͘-lú-bóng
immune	bián-e̍k
system	hē-thóng
enlarged	pûi-tōa
veins	chēng-me̍h
ulcers	ùi-iông
peptic	ūi
peptic	siau-hòa-sèng
pump	chúi-hia̍p-á
Challenge	Thiau-chiàn
Equipment	Chong-pī
desk	toh-á
Number	Sò͘-jī
decoration	chng-sek-phín
Grass	Chháu-á
Aluminum	A-lú-mih
Aluminum	Alúmih
Brick	chng-á
Kitchen	Chàu-kha
top	bīn-téng
Stainless steel	Pe̍h-thih
Trauma center	Kip-chín keng
blocked	chó͘-gāi
fever	jia̍t-pēⁿ
tissue	cho͘-chit
obstructed	pì-that
appendix	thâng-iūⁿ-sûi
contagious	thoân-jiám-sèng
anatomical	kái-phò-ha̍k
hollow spaces	khang
peritonitis	pak-mo̍h-iām
peritoneum	pak-mo̍h
scar tissue	khî-ê cho͘-chit
Gallstones	Táⁿ-chio̍h
Gallstones	tám-lîm
cholelithiasis	táⁿ-chio̍h
cystic duct	táⁿ-kńg
cystic duct	táⁿ-lông-kńg
blockage	chó͘-tòng
blockage	chó͘-gāi
alcohol abuse	siong-chiú
autoimmune	chū-sin bián-e̍k
Glomerulonephritis	Si-kiû-thé-io-chí-iām
bile duct	táⁿ-kńg
usually	it-poaⁿ
duodenum	cha̍p-jī-chí-tn̂g
from	ùi
adverse	ge̍k
failure	sit-pāi
Acute	Kip-sèng
renal	io-chí
blood	hoeh
urine	jiō
bladder	phōng-kong
water	chúi
Cholera	Hó͘-lia̍t-la
sewage	chúi-âm-kóng
Typhoid fever	Tn̂g-jia̍t-pēⁿ
Amoebiasis	Amoeba sèng chhiah-lī
Amoebiasis	Amoeba chèng
Tuberculosis	Kiat-hu̍t
Tuberculosis	Lô-pēⁿ
